instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis
0,0,New,64,49882.002525,49983.842593,49916.132716,50662.525267,51200.000000,51200.000000,69.970646,73.726162,159.908854,159.909828,6390,217911,3600.000000,72,4,70,GUROBI,1,52,0,0,0,0,0,0,0,0,0
1,0,NoDisjunction,64,49865.238847,49968.993056,49892.541035,50572.504695,51200.000000,51200.000000,1.968285,6.293339,144.433217,164.616300,16732,569441,3600.000000,72,4,0,GUROBI,1,52,0,0,20,0,0,0,1,1,1
