instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,New,64,48.799999,56.999999,50.542235,48.799999,82.199999,82.199999,3.774018,3.799602,3.774018,17.820211,5918,50652,3600.000000,77,18,19,SYMPHONY,1,61,0,0,0,0,0,0,0,0,0,106,1
1,0,Farkas,64,48.799999,56.999999,50.542235,48.799999,82.199999,82.199999,0.244518,0.279141,0.244518,14.860110,6210,52173,3600.000000,77,18,0,SYMPHONY,1,61,0,0,0,0,0,0,0,0,0,90,1
