instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes,warmStartNodeLimit
0,0,DisjWarmStart,4,180104.201530,181347.902267,180104.201530,181347.902267,182477.485602,330026.000000,0.000002,0.554028,0.000002,0.576077,4,62,1800.000000,0,0,0,SYMPHONY,0,0,0,0,0,0,0,0,0,0,0,43,1,4
1,0,DisjWarmStart,4,180092.768197,182511.714190,180092.768197,182511.714190,258373.249414,258399.000000,0.000001,0.000025,0.000001,1055.362564,402623,2705290,1800.000000,0,0,0,SYMPHONY,0,0,0,0,0,0,0,0,0,0,0,0,4,4
