instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes,warmStartNodeLimit
0,0,DisjWarmStart,64,95919464.000000,95919464.000000,95919464.000000,97589464.000000,99639946.000000,110297514.000000,0.000000,0.371772,0.000000,1.305512,64,617,1800.000000,0,0,0,SYMPHONY,0,0,0,0,0,0,0,0,0,0,0,135,1,64
1,0,DisjWarmStart,64,95946343.000000,100030983.000000,95946343.000000,100030983.000000,112804715.000000,112810515.000000,0.000000,0.000072,0.000000,45.311885,6204,28162,1800.000000,0,0,0,SYMPHONY,0,0,0,0,0,0,0,0,0,0,0,0,59,64
