instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,None,64,25490184.451460,25490184.451460,25490184.451460,25504199.719979,25659439.062923,25779856.371698,0.000002,0.122279,0.000002,3590.323274,222913,831869,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,420,1
1,0,None,64,25491217.823683,25491217.823683,25491217.823683,25505233.092202,25648474.630309,25780897.483111,0.000002,0.120913,0.000002,3591.851794,224279,820733,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,418,1
