instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,New,64,20.570922,30.168224,29.912589,29.942636,34.000000,34.000000,1.555659,1.570515,1.555659,2.356903,726,3027,3600.000000,64,6,6,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,19,1
1,0,Farkas,64,32.946001,35.346511,32.946001,36.000626,50.000000,50.000000,0.194298,0.204455,0.194298,0.537218,294,1257,3600.000000,64,6,0,SYMPHONY,1,47,46,1,16,0,0,0,0,0,0,15,1
10,0,Farkas,64,26.860644,27.133755,26.860644,28.003521,36.000000,36.000000,0.169816,0.177850,0.169816,0.844742,583,2100,3600.000000,64,6,0,SYMPHONY,1,9,9,2,53,0,0,0,0,0,0,10,1
2,0,Farkas,64,37.810868,41.277778,37.810868,39.029478,45.000000,45.000000,0.174318,0.184179,0.174318,0.305079,96,430,3600.000000,64,6,0,SYMPHONY,1,38,37,1,25,0,0,0,0,0,0,9,1
3,0,Farkas,64,57.369053,57.404651,57.369053,59.773511,73.000000,73.000000,0.180678,0.207889,0.180678,0.310779,86,411,3600.000000,64,6,0,SYMPHONY,1,59,57,0,5,0,0,0,0,0,0,20,1
4,0,Farkas,64,43.070017,45.369858,43.070017,44.881619,60.000000,60.000000,0.177136,0.191114,0.177136,1.178459,863,3638,3600.000000,64,6,0,SYMPHONY,1,37,35,0,27,0,0,0,0,0,0,13,1
5,0,Farkas,64,40.114797,41.764117,40.114797,40.907478,56.000000,56.000000,0.189437,0.199060,0.189437,0.551526,330,1242,3600.000000,64,6,0,SYMPHONY,1,35,35,2,27,0,0,0,0,0,0,11,1
6,0,Farkas,64,40.006017,42.752254,40.006017,42.138759,63.000000,63.000000,0.183496,0.194153,0.183496,0.684778,479,1837,3600.000000,64,6,0,SYMPHONY,1,45,44,1,18,0,0,0,0,0,0,11,1
7,0,Farkas,64,24.748921,24.748921,24.748921,24.820529,47.000000,47.000000,0.193335,0.202570,0.193335,0.691278,446,1954,3600.000000,64,6,0,SYMPHONY,1,47,45,0,17,0,0,0,0,0,0,8,1
8,0,Farkas,64,26.500806,27.437891,26.500806,27.995671,48.000000,48.000000,0.180560,0.196611,0.180560,0.736269,487,2207,3600.000000,64,6,0,SYMPHONY,1,39,37,0,25,0,0,0,0,0,0,16,1
9,0,Farkas,64,44.581061,50.896731,44.581061,49.486670,72.000000,72.000000,0.176442,0.197017,0.176442,0.540181,337,1262,3600.000000,64,6,0,SYMPHONY,1,48,47,1,15,0,0,0,0,0,0,13,1
