instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,New,64,20.570922,30.168224,29.912589,21.483725,34.000000,34.000000,1.545471,1.561683,1.545471,2.342028,726,3027,3600.000000,64,6,6,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,19,1
1,0,NoDisjunction,64,20.573797,30.336381,30.079202,21.483725,34.250000,34.250000,0.114899,0.128158,0.114899,1.025672,846,3568,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,1,1,1,19,1
10,0,NoDisjunction,64,20.371673,29.918224,29.710331,21.233725,33.750000,33.750000,0.109038,0.121659,0.109038,0.967211,755,3214,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,1,1,1,19,1
2,0,NoDisjunction,64,20.570922,30.168224,29.916315,21.483725,34.000000,34.000000,0.109552,0.124288,0.109552,0.970212,766,3396,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,1,1,1,18,1
3,0,NoDisjunction,64,20.820922,30.271028,30.123755,21.665021,34.250000,34.250000,0.111285,0.123888,0.111285,1.464389,1207,4769,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,1,1,1,18,1
4,0,NoDisjunction,64,20.820922,30.168224,29.912589,21.733725,34.000000,34.000000,0.113400,0.128692,0.113400,0.974190,772,3411,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,1,1,1,17,1
5,0,NoDisjunction,64,20.740006,30.287383,29.981416,21.678197,34.250000,34.250000,0.114616,0.132189,0.114616,0.953800,757,3415,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,1,1,1,25,1
6,0,NoDisjunction,64,20.901838,30.549065,30.192636,21.789253,34.250000,34.250000,0.112384,0.122182,0.112384,0.946203,737,3361,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,1,1,1,17,1
7,0,NoDisjunction,64,20.570922,30.404148,30.086414,21.483725,34.250000,34.250000,0.111209,0.127094,0.111209,0.910951,711,3110,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,1,1,1,17,1
8,0,NoDisjunction,64,20.570082,30.168224,29.979799,21.483725,34.250000,34.250000,0.114909,0.129991,0.114909,1.260747,1047,4450,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,1,1,1,21,1
9,0,NoDisjunction,64,20.820922,30.418224,30.163675,21.733725,34.250000,34.250000,0.108903,0.119644,0.108903,1.182042,989,3828,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,1,1,1,17,1
