instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,New,64,20.570922,30.168224,29.912589,29.942636,34.000000,34.000000,1.537726,1.552605,1.537726,2.330279,726,3027,3600.000000,64,6,6,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,19,1
1,0,NoDisjunction,64,21.140295,30.168224,29.916025,29.942636,34.000000,34.000000,0.207969,0.222814,0.207969,1.294099,1003,3697,3600.000000,64,6,0,SYMPHONY,1,3,1,0,17,0,0,0,1,1,1,19,1
10,0,NoDisjunction,64,20.322024,30.130841,29.069269,29.072391,34.000000,34.000000,0.166582,0.177849,0.166582,0.869880,620,2754,3600.000000,64,6,0,SYMPHONY,1,2,0,0,9,0,0,0,1,1,1,19,1
2,0,NoDisjunction,64,20.715783,30.168224,29.932885,29.960900,34.000000,34.000000,0.147871,0.162747,0.147871,1.339829,1088,4225,3600.000000,64,6,0,SYMPHONY,1,2,0,0,6,0,0,0,1,1,1,21,1
3,0,NoDisjunction,64,20.832221,30.130841,29.869641,29.893433,34.000000,34.000000,0.160206,0.174737,0.160206,1.160603,886,3481,3600.000000,64,6,0,SYMPHONY,1,2,0,0,8,0,0,0,1,1,1,19,1
4,0,NoDisjunction,64,20.470849,29.932818,29.455173,29.491333,34.000000,34.000000,0.127142,0.142072,0.127142,0.919275,684,3245,3600.000000,64,6,0,SYMPHONY,1,2,0,0,3,0,0,0,1,1,1,19,1
5,0,NoDisjunction,64,20.583461,29.983951,29.568986,29.601380,34.000000,34.000000,0.197729,0.212606,0.197729,1.471716,1209,4367,3600.000000,64,6,0,SYMPHONY,1,1,0,1,14,0,0,0,1,1,1,16,1
6,0,NoDisjunction,64,20.561907,30.327890,29.536989,29.539659,34.000000,34.000000,0.153352,0.164280,0.153352,0.915461,681,2932,3600.000000,64,6,0,SYMPHONY,1,2,0,0,8,0,0,0,1,1,1,15,1
7,0,NoDisjunction,64,20.359593,29.589564,29.139954,29.199961,34.000000,34.000000,0.170497,0.182965,0.170497,1.022723,754,3217,3600.000000,64,6,0,SYMPHONY,1,2,0,0,11,0,0,0,1,1,1,18,1
8,0,NoDisjunction,64,20.470849,29.877998,29.455057,29.479951,34.000000,34.000000,0.152039,0.166764,0.152039,1.015781,790,3274,3600.000000,64,6,0,SYMPHONY,1,2,0,0,8,0,0,0,1,1,1,21,1
9,0,NoDisjunction,64,20.570922,30.168224,29.912589,29.942636,34.000000,34.000000,0.107181,0.122103,0.107181,0.894073,723,3038,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,1,1,1,19,1
