instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,DisjWarmStart,64,20.570922,21.483725,20.570922,21.483725,34.000000,34.000000,0.000003,0.007396,0.000003,0.889818,928,3188,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
1,0,DisjWarmStart,64,20.570922,33.760315,20.570922,33.760315,34.000000,34.000000,0.000002,0.000353,0.000002,0.352548,1589,298,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,794
10,0,DisjWarmStart,64,20.570922,33.740459,20.570922,33.740459,34.000000,34.000000,0.000002,0.000347,0.000002,0.342084,1589,250,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,794
2,0,DisjWarmStart,64,20.570922,33.832913,20.570922,33.832913,34.000000,34.000000,0.000002,0.000346,0.000002,0.355529,1589,320,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,794
3,0,DisjWarmStart,64,20.441266,33.740459,20.441266,33.740459,33.875000,33.875000,0.000002,0.000347,0.000002,0.347475,1589,277,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,794
4,0,DisjWarmStart,64,20.570922,33.760315,20.570922,33.760315,34.000000,34.000000,0.000002,0.000348,0.000002,0.349133,1589,289,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,794
5,0,DisjWarmStart,64,20.611585,33.832913,20.611585,33.832913,34.000000,34.000000,0.000002,0.000337,0.000002,0.348016,1589,279,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,794
6,0,DisjWarmStart,64,20.695922,33.934058,20.695922,33.934058,34.125000,34.125000,0.000003,0.000348,0.000003,0.348924,1589,268,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,794
7,0,DisjWarmStart,64,20.572359,33.796614,20.572359,33.796614,34.000000,34.000000,0.000003,0.000353,0.000003,0.354595,1589,320,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,794
8,0,DisjWarmStart,64,20.570922,33.743855,20.570922,33.743855,34.000000,34.000000,0.000002,0.000349,0.000002,0.345740,1589,296,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,794
9,0,DisjWarmStart,64,20.575577,33.813354,20.575577,33.813354,34.000000,34.000000,0.000001,0.000348,0.000001,0.345631,1589,253,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,794
