instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,None,64,20.570922,20.570922,20.570922,21.483725,34.000000,34.000000,0.000003,0.007455,0.000003,0.889307,928,3188,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
1,0,None,64,22.201684,22.201684,22.201684,22.635258,34.000000,34.000000,0.000002,0.009048,0.000002,0.467890,499,1853,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,8,1
10,0,None,64,18.563829,18.563829,18.563829,19.829282,31.000000,31.000000,0.000002,0.007194,0.000002,0.430753,425,1610,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,10,1
2,0,None,64,23.725182,23.725182,23.725182,23.972968,34.000000,34.000000,0.000002,0.006327,0.000002,0.352387,367,1292,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
3,0,None,64,21.139658,21.139658,21.139658,21.844937,33.000000,33.000000,0.000001,0.007515,0.000001,0.561114,590,2192,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,8,1
4,0,None,64,23.965366,23.965366,23.965366,24.533849,35.000000,35.000000,0.000002,0.008569,0.000002,0.616676,633,2313,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,11,1
5,0,None,64,18.040846,18.040846,18.040846,18.675943,26.000000,26.000000,0.000001,0.008386,0.000001,0.191501,188,663,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
6,0,None,64,20.173081,20.173081,20.173081,21.012834,33.000000,33.000000,0.000001,0.007197,0.000001,0.529902,561,1944,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
7,0,None,64,19.786350,19.786350,19.786350,20.345043,32.000000,32.000000,0.000001,0.007059,0.000001,0.321056,325,1279,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,8,1
8,0,None,64,22.108334,22.108334,22.108334,23.178728,31.000000,31.000000,0.000002,0.008743,0.000002,0.226626,224,796,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,8,1
9,0,None,64,22.016871,22.016871,22.016871,22.910180,31.000000,31.000000,0.000002,0.007439,0.000002,0.383189,402,1433,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
