instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,DisjWarmStart,64,20.570922,21.483725,20.570922,21.483725,34.000000,34.000000,0.000003,0.007317,0.000003,0.900536,928,3188,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,7,1
1,0,DisjWarmStart,64,18.768323,29.388528,18.768323,29.388528,31.000000,31.000000,0.000001,0.000326,0.000001,0.403084,1593,931,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,794
10,0,DisjWarmStart,64,21.165506,33.051885,21.165506,33.051885,36.000000,36.000000,0.000002,0.000504,0.000002,0.429341,1593,1170,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,796
2,0,DisjWarmStart,64,18.552679,30.000000,18.552679,30.000000,32.000000,32.000000,0.000002,0.000462,0.000002,0.417551,1593,1043,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,796
3,0,DisjWarmStart,64,21.023513,33.642857,21.023513,33.642857,34.000000,34.000000,0.000002,0.000367,0.000002,0.410036,1593,1246,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,796
4,0,DisjWarmStart,64,17.009984,29.795627,17.009984,29.795627,31.000000,31.000000,0.000001,0.000328,0.000001,0.401395,1593,1005,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,796
5,0,DisjWarmStart,64,24.222865,35.242563,24.222865,35.242563,38.000000,38.000000,0.000001,0.000396,0.000001,0.429917,1593,1237,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,796
6,0,DisjWarmStart,64,19.295934,31.751701,19.295934,31.751701,32.000000,32.000000,0.000002,0.000355,0.000002,0.387357,1593,823,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,796
7,0,DisjWarmStart,64,20.595558,34.000000,20.595558,34.000000,34.000000,34.000000,0.000001,0.000341,0.000001,0.407399,1593,1088,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,796
8,0,DisjWarmStart,64,19.392626,31.000000,19.392626,31.000000,31.000000,31.000000,0.000002,0.000356,0.000002,0.399971,1593,1036,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,796
9,0,DisjWarmStart,64,19.362797,32.098941,19.362797,32.098941,34.000000,34.000000,0.000001,0.000339,0.000001,0.398939,1593,1019,3600.000000,0,0,0,SYMPHONY,1,0,0,0,0,0,0,0,0,0,0,0,796
