instanceIndex,seedIndex,vpcGenerator,terms,lpBound,disjunctiveDualBound,lpBoundPostVpc,rootDualBound,dualBound,primalBound,vpcGenerationTime,rootDualBoundTime,bestSolutionTime,terminationTime,nodes,iterations,maxTime,actualTerms,numCuts,cutLimit,mipSolver,providePrimalBound,infeasibleTerms,feasibleToInfeasibleTerms,infeasibleToFeasibleTerms,termRemainsFeasibleBasisInfeasible,cutsChangedCoefficients,feasibleTermsPrunedByBound,tighten_disjunction,tighten_matrix_perturbation,tighten_infeasible_to_feasible_term,tighten_feasible_to_infeasible_basis,rootIterations,rootNodes
0,0,New,64,20.570922,30.168224,29.912589,29.942636,34.000000,34.000000,1.542157,1.557057,1.542157,2.326116,726,3027,3600.000000,64,6,6,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,19,1
1,0,Farkas,64,21.140295,30.168224,29.916025,29.942636,34.000000,34.000000,0.113323,0.124842,0.113323,1.176665,1003,3697,3600.000000,64,6,0,SYMPHONY,1,3,1,0,17,0,0,0,0,0,0,19,1
10,0,Farkas,64,20.322024,30.130841,29.069269,29.072391,34.000000,34.000000,0.111295,0.122718,0.111295,0.810522,620,2754,3600.000000,64,6,0,SYMPHONY,1,2,0,0,9,0,0,0,0,0,0,19,1
2,0,Farkas,64,20.715783,30.168224,29.932885,29.960900,34.000000,34.000000,0.110034,0.124820,0.110034,1.289601,1088,4225,3600.000000,64,6,0,SYMPHONY,1,2,0,0,6,0,0,0,0,0,0,21,1
3,0,Farkas,64,20.832221,30.130841,29.868183,29.886174,34.000000,34.000000,0.110438,0.125004,0.110438,1.041881,861,3274,3600.000000,64,6,0,SYMPHONY,1,2,0,0,8,0,0,0,0,0,0,19,1
4,0,Farkas,64,20.470849,29.932818,29.455173,29.491333,34.000000,34.000000,0.110518,0.125486,0.110518,0.886604,684,3245,3600.000000,64,6,0,SYMPHONY,1,2,0,0,3,0,0,0,0,0,0,19,1
5,0,Farkas,64,20.583461,29.983951,20.583461,21.630601,34.000000,34.000000,0.113707,0.123950,0.113707,1.332709,1121,3821,3600.000000,64,6,0,SYMPHONY,1,1,0,1,14,0,0,0,0,0,0,9,1
6,0,Farkas,64,20.561907,30.327890,29.536989,29.539659,34.000000,34.000000,0.110427,0.121230,0.110427,0.870847,681,2932,3600.000000,64,6,0,SYMPHONY,1,2,0,0,8,0,0,0,0,0,0,15,1
7,0,Farkas,64,20.359593,29.589564,29.120253,29.161725,34.000000,34.000000,0.110123,0.122795,0.110123,1.060976,867,3488,3600.000000,64,6,0,SYMPHONY,1,2,0,0,11,0,0,0,0,0,0,22,1
8,0,Farkas,64,20.470849,29.877998,29.455057,29.479951,34.000000,34.000000,0.111225,0.126127,0.111225,0.979358,790,3274,3600.000000,64,6,0,SYMPHONY,1,2,0,0,8,0,0,0,0,0,0,21,1
9,0,Farkas,64,20.570922,30.168224,29.912589,29.942636,34.000000,34.000000,0.108470,0.123640,0.108470,0.910187,723,3038,3600.000000,64,6,0,SYMPHONY,1,2,0,0,0,0,0,0,0,0,0,19,1
